PitchNo,Date,Time,Pitcher,PitcherId,PitcherThrows,PitcherTeam,PitcherSet,TaggedPitchType,PitchSession,Flag,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,PlayID,CalibrationId,EffVelocity,PracticeType,Device,Direction,BatterId,Batter,HitSpinRate,HitType,ExitSpeed,BatterSide,Angle,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,HangTime,Bearing,ContactPositionX,ContactPositionY,ContactPositionZ,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,session_id,play_id,camera_slot,camera_name,camera_target,video_type,azure_blob,azure_md5,cloudinary_url,cloudinary_public_id,uploaded_at,PitchCall,Balls,Strikes,PitchUID,SessionId
1,2024-10-17,14:14:52,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,78.58191,-1.304560074,2.607768283,1938.381781,159.0008951,11:15:00,6.16027,-0.9975,5.07928,-26.64028,20.62941,-7.93666,2.70918,0.8007,70.77276,-6.263353839,1.124745733,0.4948376796,5.02578,11.27977,0.75672,50,6.01643,-4.93486,-113.96201,-3.45592,6.50139,24.13656,-17.58244,14a5acdd-54a2-4d6f-b69e-d7815e67eb03,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.17132,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932956957,1938.124814,0.9998674321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,2024-10-17,14:15:14,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,80.05906,-3.009318355,3.931604658,2027.871944,162.7890525,11:30:00,5.99162,-1.05285,4.98901,-26.60848,19.8465,-6.15881,0.92382,2.15158,71.37741,-7.959972055,2.777887188,0.4905547668,4.66994,11.53917,0.67897,50,5.68062,-7.74875,-115.6857,-6.96884,6.14646,27.36835,-16.98648,2df7f400-3713-44a9-8b36-73e35a506f08,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.83635,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1014938332,2027.868763,0.9999984311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3,2024-10-17,14:15:39,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,80.15427,-2.6267169,2.813201762,2031.987446,148.8012162,11:00:00,6.04689,-1.05564,5.12844,-25.61102,20.35831,-12.33714,1.43443,0.56749,71.39605,-7.416475369,0.4903626203,0.4879838543,7.54815,11.72303,0.8009,50,5.78123,-5.30386,-116.02461,-6.15445,9.99021,27.58319,-16.65826,2342af2b-5f88-4d2f-9cbf-c3d03b236dfb,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,77.24116,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6814786188,2031.843717,0.9999292667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4,2024-10-17,14:15:55,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,79.84817,-0.2966175207,1.617926483,2018.062465,147.8968248,11:00:00,6.0663,-0.83294,4.7815,-27.80107,18.75206,-11.79241,3.46832,-0.28188,71.29829,-5.473530578,-0.5846787461,0.4910727456,6.71596,9.88707,0.68128,50,6.01352,-2.86959,-115.76473,-1.54317,8.89626,26.41925,-19.0772,63f37edb-67ed-4f73-a1cb-1f875889d4d8,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.75531,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,155.5637222,0.8095680429,2017.861019,0.9999001785,11:15:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,2024-10-17,14:16:11,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,79.54851,-1.465781504,0.7648562681,1965.748226,154.0841592,11:15:00,6.07259,-0.61964,5.05169,-25.27949,21.30199,-10.36566,2.5833,-0.76213,70.90255,-6.195151617,-1.184476915,0.49122224,5.74001,11.75803,0.55482,50,5.91394,-1.20376,-115.35456,-3.77197,7.52002,26.99699,-16.7698,ce6d7ef9-1416-4ace-814d-42597d865121,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,76.73195,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,167.2942991,0.3766678293,1965.705747,0.9999783907,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,2024-10-17,14:16:25,"Madison, Bryce",1000361960,Left,NA,NA,NA,Warmup,NA,79.82405,-1.74934719,3.097242406,1929.577856,155.9224548,11:15:00,6.04076,-1.12109,5.21552,-24.63535,21.04766,-9.42463,2.34025,1.00823,71.78634,-6.347341681,1.331535812,0.486461857,6.00655,11.70932,0.84207,50,5.86126,-5.95928,-115.70666,-4.32733,7.99878,25.15465,-16.58103,c01e9f87-0042-4c11-bdb2-513759dcbe5d,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,77.48283,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.06558896765,1929.576592,0.9999993448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7,2024-10-17,14:17:34,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,81.21071,-1.886357682,0.3173218945,2060.53196,149.8379579,11:00:00,6.01456,-0.88476,5.10793,-26.48603,17.69794,-10.29965,2.02972,-1.44414,73.22424,-6.811689693,-1.610896064,0.4784139002,5.53037,9.94368,0.86268,50,5.81703,-0.31141,-117.85838,-4.75948,7.64414,26.01786,-18.42978,c53a4625-a019-4685-8a04-d2a603427e79,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,78.78625,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,173.2528672,-19.87480408,1937.801975,0.9404377186,11:45:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8,2024-10-17,14:17:52,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,81.62041,-2.183826315,3.439591956,2060.849452,154.9660247,11:15:00,6.09108,-0.84899,5.06443,-25.11805,18.89463,-8.84156,1.93432,1.66091,73.41333,-6.853886057,1.78829158,0.4774856535,5.78905,10.6635,0.52912,50,5.86427,-6.80898,-118.2045,-5.35556,8.04387,26.29636,-17.35716,a7da5655-e888-4468-a21c-3728ceb37d2f,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,78.93942,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9,2024-10-17,14:18:10,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,80.73315,0.6149972802,1.633098441,2046.322084,155.6735242,11:15:00,5.96718,-0.92947,4.82681,-27.38575,17.82531,-8.07933,4.26765,-0.05589,72.4044,-4.479867651,0.1276713393,0.4839424639,4.75455,9.09701,0.77443,50,6.00547,-3.06191,-117.11061,0.3187,6.48514,25.79907,-19.76587,7577ec19-abc0-48d0-9a32-6467423b1d4f,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,77.8862,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,168.0329243,-8.531154262,2023.68024,0.9889353466,11:30:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10,2024-10-17,14:18:37,"Madison, Bryce",1000361960,Left,NA,NA,Fastball,Live,NA,80.34001,-1.243222301,0.3420036627,2014.931775,137.1376829,10:30:00,5.97986,-0.83065,4.96641,-31.04882,14.51925,-13.50504,2.21804,-1.63304,72.15976,-7.01694382,-2.185767192,0.4858494249,7.20569,8.04704,0.80825,50,5.83537,-0.24554,-116.55455,-3.5645,9.69316,26.42168,-21.3491,5c45987b-f3f0-4208-a3ad-0fb51ab3060c,c2dcd6e4-4b08-457a-ac68-d34a65c838aa,77.5805,Pitching,23360159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-10.06347192,1983.931611,0.9846147824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
